time a_x a_y a_z m_x m_y m_z baro
8160 2.6171577 -0.3369493 -9.8052100 -27.3467710 -9.3564910 16.9118040 967.2253600
8190 2.5954528 -0.3552113 -9.7507230 -27.8158720 -9.0565030 16.8178560 967.2284400
8220 2.4360342 -0.3611989 -9.7757220 -27.8158720 -8.9564970 16.8178560 967.2315200
8250 2.4867787 -0.4373904 -9.6754300 -27.8158720 -9.0565030 17.2875980 967.2346000
8280 2.4969575 -0.4514612 -9.8273640 -27.2529600 -9.4564970 17.0996860 967.2376800
8310 2.5298890 -0.4848418 -9.8694270 -27.6282350 -9.0565030 16.4420620 967.2407600
8340 2.5454566 -0.4499643 -9.8005700 -27.3467710 -9.3564910 16.9118040 967.2438400
8370 2.5640928 -0.4270619 -9.9005620 -27.3467710 -9.3564910 17.0997010 967.2469200
8400 2.5827290 -0.4041595 -10.0005540 -27.3467710 -9.3564910 17.2875980 967.2500000
8430 2.5360262 -0.2698888 -9.8165865 -27.3467710 -9.4564970 16.9118040 967.2285714
8460 2.5839267 -0.3478766 -9.8490690 -27.1591340 -9.3564910 17.2875980 967.2071429
